"Participant","Version","Response","Condition","Scale","Statement","CA","Task","Item","FirstBlock"
1,"1",0,"CF","M","It is certain that it will snow today.",0,"couldalt",41,"couldalt"
1,"1",1,"CT","M","It is possible that the tickets will be on sale.",1,"couldalt",43,"couldalt"
1,"1",1,"target","N","Five films are on show. ",NA,"notalt",21,"couldalt"
1,"1",0,"CF","N","Four birds are flying. ",0,"notalt",23,"couldalt"
1,"1",1,"target","S","Some of the exams are difficult.",NA,"notalt",2,"couldalt"
1,"1",1,"CT","S","Some of the files have been deleted.",1,"notalt",8,"couldalt"
1,"1",1,"CT","M","It is possible that John will stay at home.",1,"couldalt",44,"couldalt"
1,"1",0,"CF","N","Four dogs are running.",0,"couldalt",50,"couldalt"
1,"1",0,"CF","S","All of the students went to the party. ",0,"notalt",5,"couldalt"
1,"1",1,"prac","","Peter lives in London.",1,"notalt",NA,"couldalt"
1,"1",1,"CT","M","It is possible that the boy will play the piano.",1,"notalt",18,"couldalt"
1,"1",0,"CF","N","Three photos are black-and-white. ",0,"couldalt",49,"couldalt"
1,"1",1,"prac","","The cup is full.",1,"notalt",NA,"couldalt"
1,"1",1,"target","M","It is possible that Mary will come to the party.",NA,"notalt",10,"couldalt"
1,"1",0,"prac","","The table is dirty.",0,"notalt",NA,"couldalt"
1,"1",1,"CT","S","Some of the cats have been fed. ",1,"couldalt",34,"couldalt"
1,"1",0,"target","M","It is possible that the event will happen.",NA,"couldalt",38,"couldalt"
1,"1",0,"target","M","It is possible that the seed will grow.",NA,"couldalt",39,"couldalt"
1,"1",0,"CF","S","All of the stores sold newspapers. ",0,"couldalt",33,"couldalt"
1,"1",1,"CT","N","Three girls are dancing. ",1,"notalt",25,"couldalt"
1,"1",0,"CF","M","It is possible that Jane will get the work done.",0,"couldalt",42,"couldalt"
1,"1",0,"CF","S","All of the teachers attended the meeting. ",0,"couldalt",32,"couldalt"
1,"1",1,"CT","N","Five dogs are barking.",1,"notalt",27,"couldalt"
1,"1",0,"prac","","The window is open.",0,"couldalt",NA,"couldalt"
1,"1",0,"target","S","Some of the batteries are charged.",NA,"couldalt",30,"couldalt"
1,"1",0,"CF","S","Some of the plants have flowers. ",0,"notalt",4,"couldalt"
1,"1",1,"CT","S","Some of the cows have been milked.",1,"notalt",7,"couldalt"
1,"1",0,"target","N","Three monkeys are in the zoo. ",NA,"couldalt",46,"couldalt"
1,"1",0,"CF","S","All of the museums hosted exhibitions.",0,"notalt",6,"couldalt"
1,"1",1,"CT","M","It is possible that the girl will sing a song. ",1,"couldalt",45,"couldalt"
1,"1",1,"CT","S","Some of the cookies have been baked. ",1,"couldalt",36,"couldalt"
1,"1",1,"target","N","Four chairs are in the room.",NA,"notalt",20,"couldalt"
1,"1",1,"CT","S","Some of the articles have been published. ",1,"couldalt",35,"couldalt"
1,"1",0,"prac","","Peter is short. ",0,"notalt",NA,"couldalt"
1,"1",0,"target","S","Some of the questions are easy. ",NA,"couldalt",29,"couldalt"
1,"1",1,"target","S","Some of the assignments are finished.",NA,"notalt",3,"couldalt"
1,"1",1,"target","S","Some of the children are smiling.",NA,"notalt",1,"couldalt"
1,"1",0,"CF","N","Five books are new. ",0,"notalt",24,"couldalt"
1,"1",0,"CT","N","Four balls are bouncing. ",1,"notalt",26,"couldalt"
1,"1",0,"CF","N","Three computers are broken.",0,"notalt",22,"couldalt"
1,"1",0,"CF","N","Five pencils are sharp.",0,"couldalt",51,"couldalt"
1,"1",1,"CT","N","Three boys are playing cards. ",1,"couldalt",52,"couldalt"
1,"1",0,"target","N","Five brands are on discount.",NA,"couldalt",48,"couldalt"
